inspection_id,violation_code,raw_code,era,comment
2625746,60-POST2018,60,post2018,PREVIOUS CORE VIOLATION NOT CORRECTED FROM REPORT #2604609 ON 10-15-24:10-OBSERVED SEVERAL HANDSINKS IN STUDENT WASHROOMS NOT STAYING ON THE REQUIRED MINIMUM TIME OF 20 SECONDS; INSTRUCTED TO ADJUST FAUCET TIMERS. PRIORITY FOUNDATION 7-42-090
2625729,55-POST2018,55,post2018,FLOORS THROUGH OUT NEED CLEANING TO REMOVE SPILLS AND DEBRIS.
2625702,8-POST2018,8,post2018,"OBSERVED FOOD HANDLER WASHING HANDS IN THE THREE-COMPARTMENT SINK.  INSTRUCTED FOOD HANDLER TO WASH HANDS IN DESIGNATED HANDWASHING SINK IN THE PREP/ DISHWASHING AREA. FOOD HANDLER PROPERLY WASHED HANDS IN THE HANDWASHING SINK AFTER BEING INSTRUCTED TO DO SO. PRIORITY FOUNDATION 7-38-010, CITATION ISSUED"
2625702,49-POST2018,49,post2018,"OBSERVED THE LOWER SHELVES/OPENINGS UNDER THE FOOD PREP TABLE, REAR SERVICE COUNTER, AND UNDER THE HOT HOLDING EQUIPMENT WITH SLIGHT DEBRIS BUILD UP. INSTRUCTED TO CLEAN AND MAINTAIN."
2625710,23-POST2018,23,post2018,No discard date on packaged TCS food in  Grab and go cooler that are stored for more than  a day. Instructed to date. Priority foundation violation 7-38-005.
2625710,33-POST2018,33,post2018,Covering hot food with lids during cooling down process. Instructed to uncover during cooling down.
2625710,48-POST2018,48,post2018,"NO sanitizer test strip for 3-comp sink QAC sanitizer solution. Instructed to obtain, Priority foundation violation 7-38-005."
2625710,58-POST2018,58,post2018,"No allergen certificate for food service manager,  instructed to obtain."
2625674,48-POST2018,48,post2018,"OBSERVED WATER BACKING UP AT THE 3 COMPARTMENT SINK AREA. WHEN WATER IS RELEASED FROM 2ND SINK BASIN, WATER BACKS UP INTO 1ST AND 3RD SINK BASINS. INSTRUCTED MANAGER TO REPAIR BEFORE RE-INSPECTION DATE. PRIORITY FOUNDATION VIOLATION #7-38-025. NO CITATION ISSUED."
2625674,51-POST2018,51,post2018,"OBSERVED TOILET ROOM HANDSINK DRAINING PIPE WRAPPED IN FOIL AND TAPE, INSTRUCTED TO REMOVE, REPAIR AND MAINTAIN."
2625674,51-POST2018,51,post2018,"OBSERVED NO BACKFLOW TO CONNECTIONS TO EXPRESSO MACHINE AND ICE MACHINE INSTRUCTED TO INSTALL TO ENSURE DEVICE CAN BE LOCATED, SERVICED, AND MAINTAINED."
2625674,51-POST2018,51,post2018,OBSERVED 3 COMPARTMENT SINK WITH DIRECT CONNECTION INTO GREASETRAP AND THAN INTO WALL. INSTRUCTED TO PROVIDE AN IINDIRECT WASTE PIPING ACCORDING TO LAW.  PRIORITY VIOLATION #7-38-030(C). NO CITATION ISSUED.
2625661,5-POST2018,5,post2018,OBSERVED NO KIT AND PROCEDURE ON SITE FOR RESPONDING TO VOMIT AND DIARRHEA. LEFT ONE PAGER AND INSTRUCTED TO MAINTAIN PROCEDURE AND KIT CONTAINING ALL NECESSARY ITEMS INCLUDING A SANITIZER RATED AS EFFECTIVE AGAINST NOROVIRUS ON SITE AT ALL TIMES. PRIORITY FOUNDATION VIOLATION 7-38-005. NO CITATION ISSUED.
2625661,36-POST2018,36,post2018,OBSERVED BROKEN THERMOMETER INSIDE 1 REACH IN COOLER. INSTRUCTED TO REPAIR OR REPLACE AND MAINTAIN IN GOOD CONDITION.
2625661,51-POST2018,51,post2018,OBSERVED NO SERVICE SINK ON SITE AT TIME OF INSPECTION. SEE COMMENTS. INSTRUCTED TO EITHER INSTALL SERVICE SINK OR GAIN ACCESS TO SERVICE SINKS LOCATED IN NEARBY COMMON AREAS.
2625721,57-POST2018,57,post2018,"2-102.13// NOTED NO PROOF OF FOOD HANDLERS' CERTIFICATES. INSTRUCTED PERSON IN CHARGE UPON HIRE, FOOD HANDLER HAS 30 DAYS TO PROVIDE PROOF OF TRAINING AND MAINTAIN ON SITE AT ALL TIMES."
2625721,58-POST2018,58,post2018,2-102.13//OBSERVED NO PROOF OF ALLERGEN TRAINING FOR ALL CERTIFIED FOOD MANAGERS. INSTRUCTED ANY PERSONS WITH THE CITY OF CHICAGO FOOD SANITATION CERTIFICATE TO COMPLY WITH COMPLETION OF TRAINING AND PROVIDE AND MAINTAIN DOCUMENTATION ON SITE
2625697,10-POST2018,10,post2018,OBSERVED NO HANDWASHING SINK IN FRONT OF THE PREP AREA WHERE OPEN FOOD WILL BE PACKAGED AND SERVED. INSTRUCTED PERSON IN CHARGE TO PROVIDE AND MAINTAIN A HANDWASHING SINK WITH HOT AND COLD RUNNING WATER UNDER CITY PRESSURE WITH SOAP AND PAPER TOWELS PROVIDED. PRIORITY FOUNDATION #7-38-030(C).
2625697,58-POST2018,58,post2018,OBSERVED NO ALLERGEN TRAINING CERTIFICATE ON SITE FOR CERTIFIED MANAGER. INSTRUCTED CERTIFIED MANAGER TO OBTAIN ALLERGEN TRAINING AND MAINTAIN CERTIFICATE ON SITE.
2625681,8-POST2018,8,post2018,"OBSERVED FOOD HANDLER NOT WASH THEIR HANDS IN BETWEEN TASKS. FOOD HANDLER WAS FIRST SEEN PREPARING CUSTOMERS FOOD, THEN HANDLING WIPING CLOTH IN SANITIZING BUCKET AND CLEANING PREP-TABLE SURFACE WITH CUSTOMERS PREPARED FOOD THEN HANDING CUSTOMER FOOD. FOOD HANDLER THEN WALKED TO FRUIT PREP STATION, PUT ON GLOVE AND WITH GLOVED HAND, GRABBED READY TO EAT CUT FRUIT TO SERVE TO CUSTOMER. PRIORITY VIOLATION #7-38-010. CITATION ISSUED."
2625681,16-POST2018,16,post2018,NOTED ICE SCOOP STORED IN ICE MACHINE. INSTRUCTED TO STORE ICE SCOOP IN ITS OWN CONTAINER WITH COVER BETWEEN USES.
2625681,16-POST2018,16,post2018,"NOTED INTERIR ICE SHIELD INSIDE OF ICE MACHINE IN NEED OF CLEANING. INSTRUCTED TO REMOVE, CLEAN AND MAINTAIN."
2625708,53-POST2018,53,post2018,OBSERVED NO COVERED RECEPTACLE IN WOMEN'S RESTROOM. INSTRUCTED PERSON IN CHARGE TO PROIVIDE AND MAINTAIN COVERED RECEPTACLE IN WOMEN'S RESTROOM.
2625654,49-POST2018,49,post2018,OBSERVED BUILD UP OF SYRUP RESIDUE INSIDE OF METAL CABINET WHERE ICEE SYRUP IS KEPT. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.
2625654,55-POST2018,55,post2018,OBSERVED BUILD UP OF ORGANIC MATTER ON FLOOR UNDERNEATH AND BEHIND EQUIPMENT. INSTRUCTED PERSON IN CHARGE TO CLEAN AND MAINTAIN.
2625668,2-POST2018,2,post2018,"No certified food service manger on site, No certificate posted while handling and serving TCS foods ( chicken, soup...) Instructed to obtain. Priority foundation violation 7-38-012."
2625668,36-POST2018,36,post2018,"No thermometer provided in main prep kitchen refrigerator, Instructed to provide."
2625668,37-POST2018,37,post2018,"Food container (salt ) not labeled in prep kitchen, Instructed to label."
2625668,55-POST2018,55,post2018,"Wall behind prep table at rear prep kitchen not smooth and easily cleanable, Instructed to provide a smooth durable surface that's easily cleanable."
2625668,58-POST2018,58,post2018,manager needs to obtain allergen training certification
2625670,38-POST2018,38,post2018,OBSERVED INSECT FLY PAPER HANGING FROM CEILING. INSTRUCTED PERSON IN CHARGE TO REMOVE AND INFORM LICENSED PEST CONTROL TECHNICIAN OF NEED FOR INSECT CONTROL DEVICE.
2625670,55-POST2018,55,post2018,OBSERVED BUILD UP OF RESIDUE AND DEBRIS UNDER SHELVING IN DRY STORAGE ROOM. INSTRUCTED PERSON IN CHARGE TO DETAIL CLEAN AND MAINTAIN.
2625685,57-POST2018,57,post2018,2-102.13 OBSERVED NO FOOD HANDLER CERTIFICATES FOR NEW FOOD HANDLERS ON SITE. INSTRUCTED TO MAINTAIN ON SITE FOR REVIEW.
2625713,38-POST2018,38,post2018,"6-202.15---OBSERVED GAP OPENING APPROX:1/4"" INCH AT BOTTOM OF FRONT ENTRANCE DOOR.INSTRUCTED TO MAKE DOOR TIGHT FITTING ALL ACROSS THE BOTTOM TO PREVENT PEST ENTRY AND MAINTAIN."
2625713,39-POST2018,39,post2018,"3-307.11---SPLASH GUARD IS NEEDED BETWEEN HANDWASHING SINK AND 1 COMP SINK AT FRONT COFFEE BEVERAGE PREP AREA AND BETWEEN THE HANDWASHING SINK AND WATER DISPENSER LOCATED IN SAME AREA.SURFACE MUST BE SMOOTH, CLEANABLE AND NON-ABSORBENT SURFACE AND MAINTAIN."
2625713,51-POST2018,51,post2018,5-204.12---BACKFLOW PREVENTION DEVICES NOT LOCATED AT ICE MACHINE AND COFFEE/ESPRESSO MACHINE.MUST INSTALL SO BACKFLOW PREVENTION DEVICES MAY BE LOCATED TO BE SERVICED AND MAINTAINED.
2625686,2-POST2018,2,post2018,OBSERVED FACILITY WITHOUT A VALID CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE POSTED ONSITE FOR FOOD EMPLOYEES. INFORMED PERSON IN CHARGE CITY OF CHICAGO ORIGINAL FOOD SERVICE CERTIFICATE MUST BE POSTED ALONG WITH THE CERTIFIED MANAGER ON SITE WHEN TIME AND TEMPERATURE CONTROL FOR SAFETY(TCS) FOODS ARE STORED. PRIORITY FOUNDATION VIOLATION #7-38-012. CITATION ISSUED.
2625686,21-POST2018,21,post2018,"OBSERVED THE FOLLOWING FOOD NOT MEETING REQUIRE TEMPERATURE OF 135F DEGREES OR ABOVE IN THE OVEN OF STOVE IN PREP AREA GROUND BEEF FOUND AT 127.5F, PIC WAS WITHIN TIME TO REHEAT GROUND BEEF VERIFIED WITH COOK TIME TEMP LOG. BEEF WAS RE-HEATED TO 165F. PRIORITY VIOLATION #7-38-005. CITATION ISSUED"
2625686,33-POST2018,33,post2018,NO HOT HOLDING EQUIPMENT ON PREMISES FOR HOLDING HOT FOODS THAT WILL BE COOKED ON SITE DAILY; MUST PROVIDE. PRIORITY VIOLATION 7-38-005.
2625686,54-POST2018,54,post2018,OBSERVED OUTSIDE DUMPSTER WITH LIDS NOT CLOSED DUE TO TRASH OVERFLOWING. INSTRUCTED TO CORRECT AND MAINTAIN TO ENSURE TIGHT FITTING LIDS. PRIORITY FOUNDATION VIOLATION #7-38-020(B). CITATION ISSUED.
2625686,55-POST2018,55,post2018,"OBSERVED CHIPPED / PEELING PAINT AT HANDSINK IN INFANTS 0-10 MONTHS, IN INFANTS ROOM 10 MONTHS -15 MONTHS AND STAFF TOILET ROOM. INSTRUCTED TO RESURFACE AND REPAINT CHIPPED AREAS TO ENSURE WALLS ARE SEALED, SMOOTH AND EASILY CLEANABLE."
2625680,38-POST2018,38,post2018,OBSERVED DEAD ROACHES ON THE FLOOR AND ON THE WALLS IN THE REAR FOOD PREP AREA. INSTRUCTED TO REMOVE AND MAINTAIN.
2625680,38-POST2018,38,post2018,"OBSERVED 3 LIVE ROACHES AND APPROXIMATELY 10 MICE DROPPINGS ON SITE. THE LIVE ROACHES WERE OBSERVED ON THE CREVICES OF THE DOOR HANDLE ON THE SIR LAWRENCE PREP COOLER IN THE REAR AND ON THE WINDOWSILL IN THE FRONT DINING AREA. MICE DROPPINGS WERE FOUND ON THE FLOORS IN THE REAR FOOD PREP/DISHWASHING AREA UNDER THE MOP SINK, NEAR WHERE THE ICE MACHINE IS STORED, AND UNDER THE FRONT SERVICE COUNTER. INSTRUCTED TO ELIMINATE LIVE ROACH ACTIVITY, REMOVE MICE DROPPINGS AND CLEAN, SANITIZE, AFFECTED AREAS AND MAINTAIN. PRIORITY FOUNDATION VIOLATION 7-38-020(A), CITATION ISSUED."
2625680,38-POST2018,38,post2018,"OBSERVED A SMALL OPENINGS AT THE BOTTOM OF THE FRONT ENTRANCE DOOR AND ON THE BOTTOM, RIGHT CORNER OF THE REAR EXIT DOOR. INSTRUCTED TO SEAL AND MAINTAIN."
2625680,51-POST2018,51,post2018,OBSERVED NO PREVENTION BACK FLOW DEVICE ON ICE MACHINE IN THE FOOD PREP AREA. INSTRUCTED TO INSTALL AND MAINTAIN.
2625657,49-POST2018,49,post2018,OBSERVED DEBRIS ON STORAGE SHELVES IN KITCHEN. INSTRUCTED MANAGER TO CLEAN AND MAINTAIN.
2625657,55-POST2018,55,post2018,OBSERVED ITEMS STORED ON FLOOR IN STORAGE AREAS. INSTRUCTED MANAGER TO STORE ITEMS SIX INCHES OFF FLOOR AND AWAY FROM WALLS FOR EASY CLEANING AND PEST CONTROL.
2625604,2-POST2018,2,post2018,AT START OF INSPECTION PERSON AND ORIGINAL CERTIFICATE WERE ON SITE. DURING THE INSPECTION PROCESS CERTIFICATE HOLDER LEFT AND NO ORIGINAL CERTIFICATE REMAINED ON SITE. INSTRUCTED MANAGER TO OBTAIN ORIGINAL CERTIFICATE AND MAINTAIN ON SITE AT ALL TIMES. PRIORITY FOUNDATION 7-38-012 CITATION ISSUED
2625604,3-POST2018,3,post2018,ALL EMPLOYEES ON DUTY MUST HAVE A SIGNED EMPLOYEE HEALTH POLICY. INSTRUCTED MANAGER TO OBTAIN AND MAINTAIN AT ALL TIMES.  PRIORITY FOUNDATION 7-38-010 CITATION ISSUED
2625604,10-POST2018,10,post2018,OBSERVED NO SOAP OR PAPER TOWELS AT PREP HANDSINK TO PROPERLY WASH HANDS WHILE PREPARING FOOD AT FRONT LINE. INSTRUCTED TO ADD PAPER TOWELS AND SOAP AND MAINTAIN AT ALL TIMES.  PRIORITY FOUNDATION 7-38-030(C) CITATION ISSUED  MANAGER CORRECT ON SITE
2625604,13-POST2018,13,post2018,"OBSERVED A BOX OF WHITE POTATOES AND A BUCKET OF SWEET POTATOES THAT WERE IN POOR CONDITION, SPOILAGE ON POTATOES. INSTRUCTED MANAGER TO DISCARD AND MAINTAIN FOOD FRESH AND WHOLESOME.  PRIORITY VIOLATION 7-38-005 CITATION ISSUED"
2625604,22-POST2018,22,post2018,"OBSERVED THE FOLLOWING AT IMPROPER TEMPERATURE: WHOLE EGGS 47.0, BUCKET OF EGGS 47.4, PANCAKE BATTER 47.4, CHOPPED TOMATOES 46.3, CHOPPED SAUSAGES/HAM MIX 48.3, ALL PRODUCT WAS DISCARDED AT THIS TIME. TOTAL COST $100 50 POUNDS  PRIORITY VIOLATION 7-38-005 CITATION ISSUED"
2625604,33-POST2018,33,post2018,"FRONT REACH IN COOLER AND WALK IN COOLER WITH IMPROPER AIR TEMPERATURES. WALK IN COOLER 57.8, REACHIN COOLER 52.8 DEGREES.  COOLERS BEING TAGGED HELD FOR INSPECTION AT THIS TIME. INSTRUCTED MANAGER TO CORRECT AND NOT USE UNTIL TAG IS REMOVED.  PRIORITY VIOLATION 7-38-005 CITATION ISSUED"
2625604,36-POST2018,36,post2018,ALL REACH IN AND WALK IN COOLER IN NEED OF GOOD WORKING THERMOMETERS. INSTRUCTED TO INSTALL AND MAINTAIN
2625604,38-POST2018,38,post2018,OBSERVED A LARGE AMOUNT OF HOUSE FLIES AND FRUIT FLIES IN DISHWASHING AREA AND BASEMENT AREA.  INSTRUCTED TO CONTACT PEST CONTROLL FOR SERVICE AND MAINTAIN FLY FREE.  PRIORITY FOUNDATION 7-38-020(A) CITATION ISSUED
2625604,39-POST2018,39,post2018,ICE MACHINE IN NEED OF NEW COVER ON ICE MACHINE.  INSTRUCTED TO CORRECT TO PREVENT DOOR FROM OPENING.
2625604,49-POST2018,49,post2018,ALL SHELVING UNITS IN WALKIN COOLER AND ALL REACHIN COOLERS IN NEED OF DETAIL CLEANING TO REMOVE ALL MOLD BUILD UP. INSTRUCTED TO CORRECT AND MAINTAIN
2625604,51-POST2018,51,post2018,3 COMPARTMENT SINK IN NEED OF CORRECTING. SYSTEM IS SLOW DRAINING  INSTRUCTED TO CORRECT AND MAINTAIN
2625604,52-POST2018,52,post2018,OBSERVED SEEPAGE FROM RAINWATER IN BASEMENT. INSTRUCTED MANAGER TO CORRECT ISSUED AND REMOVE ALL STANDING WATER.
2625604,54-POST2018,54,post2018,OBSERVED MATTERESS AND OTHER HOUSEHOLD ITEMS IN FACILITIES SIDE AREA  INSTRUCTED MANAGER TO REMOVE ALL RUBBISH AND MAINTAIN FREE OF ALL ITEMS.
2625604,60-POST2018,60,post2018,"THE FOLLOWING CORE VIOLATIONS NOT CORRECTED FROM MAY 23, 2025 REPORT #2618000 #47 CUTTING BOARDS IN NEED OF REPLACING WHEN DEEP CUTS AND STAINS ARE PRESENT. INSTRUCTED TO CORRECT AND MAINTAIN, #47 RUBBER GASKETS ON REACH IN COOLERS AND WALK IN COOLER IN NEED OF DETAIL CLEANING OR REPLACING. INSTRUCTED TO CORRECT AND MAINTAIN, #49 ALL COOKING EQUIPMENT IN NEED OF DETAIL CLEANING TO REMOVE ALL GREASE AND FOOD BUILD UP. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN. #51 FAUCET ON 3 COMPARTMENT SINK IN NEED OF REPAIR. NOZZLE AREA IS LEAKING CORRECT AND MAINTAIN, #55 FLOORS THROUGHOUT PREP AREA IN NEED OF DETAIL CLEANING TO REMOVE ALL GREASE AND FOOD SPILLS. #56 HOOD VENTS IN NEED OF DETAIL CLEANING TO REMOVE ALL GREASE BUILD UP. #58 NO FOOD HANDLER CERTIFICATES ON SITE AT THIS TIME OF INSPECTION. INSTRUCTED MANAGER TO OBTAIN AND MAINTAIN AT ALL TIMES.#59 NO ALLERGEN CERTIFICATES ON SITE AT TIME OF INSPECTION INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN AT ALL TIMES. INSTRUCTED TO DETAIL CLEAN AND MAINTAIN INSTRUCTED TO CORRECT ALL CORE VIOLATIONS AND MAINTAIN  PRIORITY FOUNDATION 7-42-090 CITATION ISSUED"
2625604,62-POST2018,62,post2018,OBSERVED ASHES AND CIGARETTE BUTTS ON EQUIPMENT IN BASEMENT. INSTRUCTED MANAGER TO DISCONTINUE SMOKING IN FACILITY DUE TO THE CLEAN INDOOR AIR ORDINANCE.  CITATION ISSUED 7-32-020 (C)
2625590,36-POST2018,36,post2018,4-204.112(B): OBSERVED NO VISIBLE THERMOMETER IN UPRIGHT TWO DOOR REACH-IN HOT HOLDING UNIT ON LEFT. INSTRUCTED TO PROVIDE AN AMBIENT AIR THERMOMETER ON THE INSIDE OF UPRIGHT TWO DOOR REACH-IN HOT HOLDING UNIT ON LEFT IN THE KITCHEN.
2625590,47-POST2018,47,post2018,4-101.19: OBSERVED BOXES STORED ON FLOOR IN FIRST FLOOR HALLWAY STORAGE CLOSET. INSTRUCTED TO PROVIDE ADEQUATE SHELVING TO ELEVATE ALL FOOD AND NONFOOD ITEMS AT LEAST SIX INCHES OFF OF FLOOR FOR EASE OF CLEANABILITY.
2625590,51-POST2018,51,post2018,5-205.15: OBSERVED HANDWASHING SINKS IN FACILITY AT IMPROPER MINIMUM TEMPERATURES RANGING BETWEEN 86.3-88.2F. OBSERVED RIGHT ADULT HANDWASHING SINK IN TODDLER ROOM 2 WASHROOM AT CHANGING STATION AT IMPROPER MINIMUM TEMPERATURE OF 88.2F AND OBSERVED HANDWASHING SINK IN PRESCHOOL CLASSROOM 1 AT IMPROPER MINIMUM TEMPERATURE OF 86.3F. INSTRUCTED A HANDWASHING SINK SHALL BE EQUIPPED TO PROVIDE WATER AT A TEMPERATURE OF AT LEAST 100F THROUGH A MIXING VALVE OR COMBINATION FAUCET. NOTE: THERE IS ANOTHER PROPERLY FUNCTIONING ADULT HANDWASHING SINK IN TODDLER ROOM 2 WASHROOM AT CHANGING STATION AND THERE IS ANOTHER PROPERLY FUNCTIONING HANDWASHING SINK ON THE OPPOSITE SIDE OF SAID HANDWASHING SINK IN PRESCHOOL CLASSROOM 2.
2625634,22-POST2018,22,post2018,"Found 60 lbs of cooked chicken wings held at 50.8f in walk-in cooler, chicken stored in large deep covered container in cooler a day before. Instructed manager to hold cold TCS foods at 41 f or lower. Priority violation 7-38-005. chicken discarded valued at $150."
2625634,37-POST2018,37,post2018,"Bulk food container  ( flour )not labeled, Instructed to label."
2625598,51-POST2018,51,post2018,OBSERVED LEAK UNDER MIDDLE BASIN AT 3-COMPARTMENT SINK. INSTRUCTED TO REPAIR AND MAINTAIN.
2625622,10-POST2018,10,post2018,6-301.14 OBSERVED NO HAND WASHING SIGNS LOCATED AT THE HAND WASHING SINKS IN THE FOOD PREP AREA AND TOILET ROOMS. INSTRUCTED TO PROVIDE. MANAGER PROVIDED HAND WASHING SIGNAGE DURING THE INSPECTION.
2625622,38-POST2018,38,post2018,6-202.13 OBSERVED FACILITY HANGING INSECT CONTROL STRIPS. INSTRUCTED TO REMOVE AND ONLY ALLOW PEST CONTROL TO SET INSECT TRAPS. MANAGER REMOVED ALL INSECT TRAPS DURING THE INSPECTION.
2625622,40-POST2018,40,post2018,2-402.11 OBSERVED THE FOOD HANDLER WITHOUT A HAIR NET OR BEARD GUARD. INSTRUCTED TO PROVIDE WHEN HANDLING OR SERVING FOODS.
2625622,53-POST2018,53,post2018,5-501.17 OBSERVED NO COVERED RECEPTACLE INSIDE OF THE TOILET ROOM. INSTRUCTED TO PROVIDE.
2625622,55-POST2018,55,post2018,6-501.114 OBSERVED CLUTTER IN THE CUSTOMER TOILET ROOM. INSTRUCTED TO REMOVE UNNECESSARY CLUTTER.
2625600,40-POST2018,40,post2018,"Hair net not worn appropriately, long hair braids sticking out of  hair net, instructed to restraint hair properly."
